,ci_test_results,z_test_results,z_test_p_values,mean_diff
643,True,False,0.4214,-0.5
644,True,False,0.9553,-0.1
645,True,False,0.8738,-0.2
646,False,True,0.0042,-5.0
647,True,False,0.6036,0.4
648,True,False,0.7227,0.5
649,True,False,0.9268,0.2
650,True,False,0.2919,0.9
651,True,False,0.644,-1.1
652,True,False,0.7171,0.4
653,True,False,0.3281,-1.7
654,True,False,0.925,-0.1
655,True,False,0.9137,0.2
656,True,False,0.473,-0.2
657,False,True,0.0,-18.4
658,True,False,0.8805,0.2
659,True,False,0.4679,-0.9
660,False,True,0.0001,-8.0
661,True,False,0.806,-0.4
662,True,False,0.6249,-0.3
663,True,False,0.7189,0.9
664,True,False,0.6737,-0.5
665,True,False,0.3918,1.0
666,True,False,0.0748,-3.1
667,False,True,0.0,-1.0
668,True,False,0.4303,0.5
669,False,True,0.0,-23.8
670,True,False,0.2062,-0.8
671,True,True,0.0304,-4.2
672,True,False,0.1118,2.3
673,True,False,0.6053,-19.1
674,True,False,0.6379,-0.9
675,True,False,0.6972,-0.7
676,True,True,0.0341,-6.7
677,True,False,0.3087,-1.4
678,True,True,0.0156,3.6
679,True,False,0.7526,-0.1
680,True,False,0.233,-1.8
681,True,False,0.3054,1.1
682,True,False,0.9181,-0.1
683,True,False,0.3107,1.5
684,False,True,0.0139,3.1
685,True,False,0.837,0.2
686,True,False,0.2983,0.6
687,True,False,0.1342,-2.1
688,False,True,0.0,-30.6
689,False,True,0.0009,-6.6
690,True,False,0.3441,2.1
691,False,True,0.0041,-9.7
692,True,False,0.4103,-1.8
693,True,False,0.8278,-0.3
694,True,False,0.5245,-2.7
695,True,False,0.1561,-1.5
696,False,True,0.0,24.5
697,False,True,0.0,-13.9
698,False,True,0.0,-9.5
699,True,False,0.5957,0.3
700,False,True,0.0,-4.2
701,True,False,0.8718,0.2
702,True,False,0.4809,-1.5
703,True,False,0.3206,1.7
704,False,True,0.0,-6.8
705,True,True,0.0107,-4.9
706,True,False,0.3511,3.1
707,True,False,0.8516,-0.4
708,False,True,0.0,-28.1
709,True,False,0.8746,1.2
710,False,True,0.0032,-3.9
711,False,True,0.0,-137.3
712,True,False,0.9058,-0.2
713,True,False,0.9281,-0.3
714,True,False,0.732,0.5
715,True,False,0.1908,1.7
716,True,True,0.0315,-10.8
717,True,False,0.0892,6.5
718,True,False,0.8982,0.2
719,True,True,0.0287,-3.1
720,True,False,0.4881,-0.9
721,True,True,0.0058,5.1
722,True,False,0.1459,1.3
723,True,False,0.2669,12.2
724,True,False,0.6444,0.5
725,False,True,0.0056,-4.8
726,False,True,0.0,-9.1
727,True,False,0.2026,-28.5
728,False,True,0.0001,-1.2
729,True,False,0.1443,1.0
730,False,True,0.0,-11.8
731,True,False,0.1104,3.2
732,True,False,0.282,-1.0
733,True,False,0.801,0.3
734,True,False,0.469,-1.3
735,True,False,0.2695,-1.9
736,False,True,0.0001,-6.8
737,False,True,0.0027,-9.5
738,True,False,0.4127,-1.6
739,True,False,0.2173,-0.8
740,True,True,0.0346,-0.5
741,False,True,0.0296,0.4
742,True,False,0.0672,-1.7
743,False,True,0.0,158.7
744,True,False,0.4127,-1.4
745,True,False,0.3993,-1.4
746,True,False,0.0555,8.3
747,True,False,0.7349,0.7
748,True,True,0.0419,2.9
